,Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
23,6880,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.965444,-78.969678,High
24,1927,WAHNAPITAE,Not Charted,41.516717,-81.71651899999999,Poor
25,1936,CLEVECO,Not Charted,41.626714,-81.536508,Poor
26,1940,F.H. PRINCE,Not Charted,41.650044,-82.59989399999999,Poor
27,1965,CASE,Not Charted,41.796711,-82.816575,Poor
28,1971,CHARLES B. HILL,Not Charted,41.841716999999996,-81.066486,Poor
29,1984,CLARION,Not Charted,41.916711,-83.16659200000001,Poor
30,2001,FRANK E. VIGOR,"Wreck - Submerged, dangerous to surface navigation",41.956978,-81.960975,Low
31,2008,CHESAPEAKE,Not Charted,42.025053,-80.566464,Poor
32,2022,TASHMOO,Not Charted,42.091708000000004,-83.146589,Poor
33,2031,KILARNEY,"Wreck - Submerged, dangerous to surface navigation",42.158372,-81.24316400000001,Low
34,2039,BRITTANIC,Not Charted,42.266703,-83.108253,Poor
35,2040,FONTANA,Not Charted,42.266703,-83.108253,Poor
36,2042,JAMES H. REED,"Wreck - Submerged, dangerous to surface navigation",42.271383,-80.799817,Low
37,2045,CITY OF ROME,Not Charted,42.291722,-79.69976700000001,Poor
38,2120,CITY OF DETROIT,Not Charted,42.400056,-79.599769,Poor
39,2164,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.873389,-78.900925,High
40,2165,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.883722,-78.916925,Poor
41,2167,UNKNOWN,Wreck - Visible,42.890322,-78.89949200000001,High
42,13898,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.495014000000005,-81.712869,Low
43,13900,UNKNOWN,Wreck - Visible,41.501994,-81.71235300000001,Low
44,13901,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.498308,-81.71865,Low
45,13902,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.497817,-81.718547,Low
46,2947,UNKNOWN,,42.000056,-80.51646099999999,
47,14209,M/V MELISSA DESAGNES,"Wreck - Submerged, dangerous to surface navigation",42.236667,-83.13166700000001,Low
48,14208,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.753694,-82.475139,High
49,14297,CHARLES H. DAVIS,"Wreck - Submerged, dangerous to surface navigation",41.513194,-81.725045,High
50,14615,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.129333,-80.11361099999999,High
51,15083,WRECK,"Wreck - Submerged, nondangerous",18.448611,-65.59944399999999,Med
52,8744,UNKNOWN,Wreck - Visible,18.327806,-64.958917,Low
53,11853,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.326253,-64.957542,High
54,11854,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330389,-64.954472,High
55,11855,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.329167,-64.95030600000001,High
56,11856,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.323817000000002,-64.959108,High
57,11857,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.326375,-64.95135,High
58,11013,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.897069000000002,-66.181119,High
59,11014,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.932192,-66.260378,High
60,11049,UNKNOWN,Wreck - Visible,18.329722,-64.946667,Med
61,11054,UNKNOWN,,18.351342000000002,-64.853611,Low
62,11762,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.945089000000003,-66.627319,High
63,11767,UNKNOWN,Wreck - Visible,17.973667000000003,-66.61694200000001,High
64,11768,UNKNOWN,Wreck - Visible,17.966914000000003,-66.616289,High
65,11819,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.931778,-66.259333,High
66,10864,HMS LOWESTOFFE,"Wreck - Submerged, nondangerous",21.515556,-72.88444399999999,Low
67,197,LIBORIA C.,Not Charted,27.875381,-66.974078,Low
68,601,CLINTONIA,,34.586942,-63.415758,Low
69,907,UNKNOWN,Wreck - Visible,18.472306,-66.13905600000001,High
70,1266,GATEWAY CLIPPER,"Wreck - Submerged, dangerous to surface navigation",18.333011,-64.952922,Low
71,1297,DRAVO,"Wreck - Submerged, dangerous to surface navigation",18.327011,-64.950194,High
72,1298,VICTORY,"Wreck - Submerged, dangerous to surface navigation",18.326847,-64.950272,High
73,3,FERNGARTH,"Wreck - Submerged, nondangerous",18.386675,-75.00318299999999,High
74,400,VICTORY,Not Charted,29.454210999999997,-70.879836,Low
75,414,KILE NO.1,Not Charted,29.618422,-63.810664,Low
76,790,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.748306,-64.702917,Poor
77,791,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.345231,-64.669022,Low
78,792,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.354675,-64.75958100000001,Low
79,794,DIFFERENT DRUMMER,"Wreck - Submerged, dangerous to surface navigation",18.361342,-64.77319200000001,Low
80,795,BALLY ONE,"Wreck - Submerged, dangerous to surface navigation",18.364675,-64.749581,Low
81,6835,UNKNOWN,Wreck - Visible,17.757194000000002,-64.604861,Low
82,7052,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.4715,-66.130611,Med
83,14041,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335744000000002,-64.935653,High
84,14042,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335082999999997,-64.924625,High
85,13780,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.459114000000003,-66.09272800000001,High
86,13784,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.450525,-66.10175600000001,High
87,13785,UNKNOWN,"Wreck - Submerged, nondangerous",18.481217,-66.132017,High
88,13786,UNKNOWN,"Wreck - Submerged, nondangerous",18.484647,-66.125219,High
89,12196,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.712142,-64.890128,High
90,10079,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.223028,-65.61627800000001,Low
91,10082,LAKE ELLENDALE,"Wreck - Submerged, dangerous to surface navigation",18.221444,-65.600806,High
92,9770,FRENCH KISS,"Wreck - Submerged, dangerous to surface navigation",18.330839,-64.933231,High
93,9771,QUEST,"Wreck - Submerged, dangerous to surface navigation",18.330803,-64.93314699999999,High
94,9772,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330617,-64.932936,High
95,9773,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.329711,-64.934667,High
96,9774,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.331017000000003,-64.932119,High
97,9775,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330619,-64.934256,High
98,9777,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.333578,-64.932836,High
99,9778,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.331192,-64.933839,High
100,9781,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335075,-64.939711,High
101,9782,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335283,-64.93975,High
102,9784,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335694,-64.940039,High
103,9785,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.325164,-64.928556,High
104,9789,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.317947,-64.969697,High
105,9790,UNKNOWN,Wreck - Visible,18.326007999999998,-64.950053,High
106,9791,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.303072,-64.973256,High
107,9794,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.314283,-64.962839,High
108,9798,UNKNOWN,Wreck - Visible,18.322528,-64.953778,High
109,9802,UNKNOWN,Wreck - Visible,18.327128,-64.958325,High
110,9803,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335125,-64.967031,High
111,9805,WIT CONCRETE,Wreck - Visible,18.324069,-64.957003,High
112,9806,MISS OPPORTUNITY,"Wreck - Submerged, dangerous to surface navigation",18.326194,-64.99355,High
113,9807,WIT SHOAL,"Wreck - Submerged, dangerous to surface navigation",18.313347,-65.041389,High
114,9808,MARLOGO,Wreck - Visible,18.32805,-64.960114,High
115,2734,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.472306,-66.156417,High
116,3317,ALEGRIAN NO.1,Wreck - Visible,22.281667000000002,-72.673333,Low
117,2741,TRANSCARIBBEAN,Wreck - Visible,18.472972,-66.132914,High
118,2742,PROCK BARGE 19,Wreck - Visible,18.46925,-66.132861,High
119,2743,DUO,"Wreck - Submerged, dangerous to surface navigation",18.471611,-66.132942,Low
120,2751,ANTONIO LOPEZ,"Wreck - Submerged, nondangerous",18.478583,-66.231083,High
121,3318,UNKNOWN,,22.408333,-72.916667,Low
122,3319,UNKNOWN,Wreck - Visible,22.433792,-73.017539,Low
123,3321,UNKNOWN,Wreck - Visible,23.086667000000002,-73.63833299999999,Low
124,3323,WESTERN VENTURE,,23.1,-73.75,Poor
125,3324,COMMERCIAL DISPATCH,,23.083333,-75.833333,Poor
126,3325,ANTHONY P,,22.500456,-73.39089399999999,Poor
127,3326,ARCHIE I,,22.420458,-72.985869,Poor
128,3327,LUCKY ERA,,22.367110999999998,-72.7825,Poor
129,2779,CARL O,Wreck - Visible,18.468417000000002,-66.132389,High
130,2538,CUMULUS,"Wreck - Submerged, dangerous to surface navigation",17.783583,-64.751253,Med
131,2539,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.063019,-65.492936,Low
132,2540,HILDA,"Wreck - Submerged, dangerous to surface navigation",18.441333,-65.759606,Low
133,2542,IBERVILLE,"Wreck - Submerged, dangerous to surface navigation",18.442999999999998,-66.11335799999999,Low
134,3159,UNKNOWN,Wreck - Visible,18.681944,-72.770556,Low
135,3160,JE CROIS EN DIUE,"Wreck - Submerged, nondangerous",18.666667,-73.1,Poor
136,3161,UNKNOWN,Wreck - Visible,18.95,-73.1625,Low
137,3162,JOHANNE,"Wreck - Submerged, nondangerous",19.0,-73.0,Poor
138,2892,LA PROFESORA II,"Wreck - Submerged, dangerous to surface navigation",18.464667000000002,-65.98294399999999,Low
139,2910,UNKNOWN,Wreck - Visible,18.442933,-66.11205600000001,High
140,2911,UNKNOWN,,18.428447,-66.110694,High
141,2912,UNKNOWN,Wreck - Visible,18.452610999999997,-66.10325,High
142,2913,UNKNOWN,Wreck - Visible,18.452556,-66.103444,High
143,2914,UNKNOWN,Wreck - Visible,18.452722,-66.10333100000001,High
144,2915,UNKNOWN,Wreck - Visible,18.447528,-66.108583,High
145,2939,UNKNOWN,Wreck - Visible,22.604611,-74.350806,High
146,2942,EASTERN CLOUD,"Wreck - Submerged, nondangerous",22.417111,-74.49928299999999,Poor
147,7783,CARIBE,"Wreck - Submerged, nondangerous",18.681325,-66.166278,Poor
148,15081,WRECK,"Wreck - Submerged, nondangerous",18.5,-65.8,Low
149,8536,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.303085999999997,-64.919133,High
150,8537,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.311281,-64.91578299999999,High
151,8538,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.312044,-64.915575,High
152,8555,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.327797,-64.9478,High
153,8557,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.336130999999998,-64.93858900000001,High
154,8559,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335058,-64.938592,High
155,8560,ESCAPADE,"Wreck - Submerged, dangerous to surface navigation",18.321883,-64.95514200000001,High
156,8567,UNKNOWN,Wreck - Visible,18.323056,-64.95222199999999,Med
157,8539,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.312439,-64.916947,High
158,8540,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.3116,-64.91885,High
159,8543,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.323364,-64.923397,High
160,8544,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.311511,-64.936375,High
161,8549,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.328875,-64.93135600000001,High
162,8551,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.332667,-64.934572,High
163,15190,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.2701,-65.0178,High
164,15191,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.2553,-65.0126,High
165,15192,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.253222,-64.97783299999999,High
166,15193,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.261360999999997,-64.94125,High
167,15194,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.249556,-64.938806,High
168,4428,UNKNOWN,Wreck - Visible,17.749694,-64.697864,High
169,4429,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.749972,-64.698475,Low
170,4432,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.751832999999998,-64.695419,Low
171,4433,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.752417,-64.695697,High
172,4434,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.754417,-64.702919,Med
173,4450,UNKNOWN,Wreck - Visible,21.702136,-73.788383,Low
174,4469,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.673030999999998,-64.82292199999999,Med
175,4471,UNKNOWN,Wreck - Visible,17.689864,-64.80314399999999,High
176,4472,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.712067,-64.89,High
177,4514,UNKNOWN,Wreck - Visible,18.330714,-64.955333,High
178,3663,FANTOME,Wreck - Visible,25.261389,-76.953889,Low
179,14733,WRECK,"Wreck - Submerged, nondangerous",18.225192,-65.187431,Poor
180,15195,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.252917,-64.926639,High
181,14820,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.32975,-64.954639,High
182,15082,WRECK,"Wreck - Submerged, nondangerous",18.45,-65.75,Low
183,54106,WRECK,"Wreck - Submerged, dangerous to surface navigation",57.718111,-152.548833,High
184,53705,UNKNOWN,Wreck - Visible,59.474616000000005,-151.34225700000002,Poor
185,53718,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",54.416639,-164.841139,Low
186,50382,UNKNOWN,Wreck - Visible,60.551914000000004,-145.761569,High
187,50384,UNKNOWN,"Wreck - Submerged, nondangerous",60.24945,-146.420375,Med
188,50385,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.516192000000004,-151.34710800000002,High
189,51030,UNKNOWN,Wreck - Visible,59.937328,-149.315883,High
190,50409,YUKON,Not Charted,59.924456000000006,-148.850458,Poor
191,50416,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.780081,-152.387733,Low
192,50417,UNKNOWN,Wreck - Visible,57.779247,-152.383842,Low
193,50418,UNKNOWN,Wreck - Visible,57.775358,-152.40023300000001,Low
194,50428,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.777218999999995,-152.45054199999998,High
195,50721,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",61.251208,-149.894281,High
196,50429,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.776692000000004,-152.450736,High
197,50434,BAY ROAMER,"Wreck - Submerged, dangerous to surface navigation",60.13893100000001,-151.662425,High
198,51734,GLACIER QUEEN,"Wreck - Submerged, nondangerous",59.149436,-144.718636,Low
199,51740,UNKNOWN,Wreck - Visible,57.532771999999994,-154.005472,High
200,51741,UNKNOWN,Wreck - Visible,57.532828,-154.005806,High
201,51742,UNKNOWN,Wreck - Visible,57.53305,-154.015028,High
202,51750,UNKNOWN,Wreck - Visible,57.539939000000004,-153.993583,High
203,51721,UNKNOWN,Wreck - Visible,60.477419,-145.940372,High
204,51722,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.53279200000001,-145.78753899999998,High
205,51756,UNKNOWN,Wreck - Visible,57.554272,-153.978692,High
206,51213,UNKNOWN,Wreck - Visible,57.246386,-156.37256399999998,High
207,50194,PACIFIC,"Wreck - Submerged, dangerous to surface navigation",57.516307999999995,-156.047108,High
208,50625,UNKNOWN,Wreck - Visible,59.429657999999996,-151.71501899999998,High
209,50292,SS NORTH WIND,Not Charted,54.865867,-159.16872800000002,Poor
210,50010,AFOGNAK,,60.177783,-144.555303,Low
211,50080,DAVID FOSS,Not Charted,60.300886,-151.484903,High
212,50119,GEORGE F. FERRIS,"Wreck - Submerged, dangerous to surface navigation",60.326636,-151.452225,Med
213,50037,BAY ROAMER,"Wreck - Submerged, dangerous to surface navigation",60.140108,-151.658264,High
214,50101,ELNA,"Wreck - Submerged, dangerous to surface navigation",57.187571999999996,-156.335281,High
215,52984,RAY MAR HOUSTON,Wreck - Visible,55.357222,-160.472397,High
216,52986,CONQUEST,"Wreck - Submerged, dangerous to surface navigation",55.33564200000001,-160.538983,High
217,52756,UNKNOWN,"Wreck - Submerged, nondangerous",55.804444,-156.76333300000002,Med
218,52053,UNKNOWN,"Wreck - Submerged, nondangerous",56.583332999999996,-157.716667,Low
219,52815,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.113471999999994,-149.38341699999998,Low
220,53126,UNKNOWN,Wreck - Visible,60.8928,-146.82453600000002,High
221,53128,UNKNOWN,Wreck - Visible,60.899406000000006,-146.703192,Med
222,52237,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.77845,-148.66358300000002,High
223,52589,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",59.96504399999999,-147.7029,High
224,53088,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.943611,-151.084139,High
225,52654,FOX RIVER,"Wreck - Submerged, nondangerous",57.831167,-150.79083300000002,Low
226,51901,UNKNOWN,Wreck - Visible,61.240756000000005,-150.002531,High
227,51906,UNKNOWN,Wreck - Visible,61.226561,-149.897881,High
228,51907,UNKNOWN,Wreck - Visible,61.233406,-149.89471899999998,High
229,51911,UNKNOWN,Wreck - Visible,61.294121999999994,-149.9167,High
230,52425,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.936108,-151.103906,Low
231,52430,G.W. KING,Wreck - Visible,60.22740600000001,-147.7067,High
232,51962,UNKNOWN,Wreck - Visible,60.855389,-148.367083,High
233,51963,UNKNOWN,Wreck - Visible,60.855943999999994,-148.3675,High
234,52439,CHILKOOE,"Wreck - Submerged, dangerous to surface navigation",60.366092,-147.07370600000002,Low
235,52440,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.322725,-147.671992,Low
236,52441,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",56.308671999999994,-158.381269,High
237,52463,UNKNOWN,Wreck - Visible,57.699569,-152.538883,High
238,53704,WELL,,59.665949,-151.335449,High
239,53578,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",55.335289,-160.540122,High
240,53249,F/V ST. PETER,"Wreck - Submerged, nondangerous",60.603061,-145.803911,Med
241,53803,F/V/ KANDU,"Wreck - Submerged, nondangerous",59.795,-151.913333,
242,54013,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.781195999999994,-152.39025800000002,Low
243,54014,UNKNOWN,"Wreck - Submerged, nondangerous",57.783664,-152.099606,Low
244,53992,WRECK,"Wreck - Submerged, dangerous to surface navigation",55.251178,-161.495475,High
245,53982,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",59.625693999999996,-151.419806,High
246,54097,F/V SEAFARER,"Wreck - Submerged, dangerous to surface navigation",57.96595799999999,-153.53557,Low
247,54098,F/V GERTRUDE S,"Wreck - Submerged, nondangerous",58.009291000000005,-153.405565,Low
248,15065,UNKNWON,"Wreck - Submerged, dangerous to surface navigation",37.000861,-75.370806,High
249,14822,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",37.084222,-75.919472,
250,14881,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.598528,-75.698139,Low
251,14217,UNKNOWN,"Wreck - Submerged, nondangerous",36.899271999999996,-75.71628100000001,High
252,14225,ATLANTIC MIST,"Wreck - Submerged, dangerous to surface navigation",37.918731,-75.058447,Med
253,8880,MARGARET,"Wreck - Submerged, dangerous to surface navigation",38.8651,-75.134439,High
254,11936,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.0391,-75.219936,High
255,11939,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.993019,-75.19470600000001,High
256,11940,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.042428,-75.22491099999999,High
257,11941,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.002586,-75.20517199999999,High
258,11942,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.993839,-75.196211,High
259,11945,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.023808,-75.134089,High
260,11946,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.003147,-75.125711,High
261,11947,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.005472,-75.12850300000001,High
262,11952,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.042231,-75.110014,High
263,11953,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.010861,-75.127944,High
264,11955,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.987064000000004,-75.112475,High
265,11973,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.396589,-75.50323900000001,High
266,11974,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.352628,-75.472339,High
267,11975,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.415672,-75.50805600000001,High
268,10652,UNKNOWN,"Wreck - Submerged, nondangerous",38.602047,-74.67975,High
269,10657,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.524133,-74.791103,High
270,10681,UNKNOWN,"Wreck - Submerged, nondangerous",38.587408,-74.827558,High
271,10684,UNKNOWN,"Wreck - Submerged, nondangerous",38.632119,-74.845889,High
272,11074,WRECK,"Wreck - Submerged, dangerous to surface navigation",38.889978,-75.092686,High
273,11430,KINGSTON CELONITE,"Wreck - Submerged, dangerous to surface navigation",36.827216,-75.868392,High
274,11436,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.904846,-75.71343900000001,High
275,11448,GULF HUSTLER,"Wreck - Submerged, dangerous to surface navigation",36.857956,-75.59496899999999,Low
276,10736,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.996517,-75.119747,High
277,11449,GULF HUSTLER,"Wreck - Submerged, dangerous to surface navigation",36.863486,-75.5063,Med
278,10794,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.981221999999995,-75.993806,High
279,803,SANTORE,"Wreck - Submerged, dangerous to surface navigation",36.897434000000004,-75.780953,High
280,804,THOMAS F. POLLARD,,36.900147,-75.966317,Med
281,808,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.903890000000004,-75.891293,High
282,815,FAYE,,36.915842,-75.848208,Low
283,816,EIDSVOLD,"Wreck - Submerged, nondangerous",36.916817,-74.999611,Poor
284,1132,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.747875,-74.59853100000001,High
285,1133,J.R. WILLIAMS,"Wreck - Submerged, dangerous to surface navigation",38.752658000000004,-74.906675,High
286,1134,UNKNOWN,Not Charted,38.761010999999996,-74.5234,Low
287,1138,CITY OF GEORGETOWN,"Wreck - Submerged, dangerous to surface navigation",38.776081,-74.560436,High
288,817,B.A.VAN BRUNT,"Wreck - Submerged, nondangerous",36.92015,-74.716264,Low
289,819,VICKY,,36.925628,-74.847492,Low
290,831,UNKNOWN,"Wreck - Submerged, nondangerous",36.945147,-75.916314,Low
291,1145,GYPSUM PRINCE,"Wreck - Submerged, dangerous to surface navigation",38.804086,-75.067489,High
292,1148,UNKNOWN,,38.812611,-75.072956,Low
293,1149,B.F. MACOMBER,"Wreck - Submerged, dangerous to surface navigation",38.812531,-75.073667,High
294,1150,B.F. MACOMBER,"Wreck - Submerged, nondangerous",38.812981,-75.067808,High
295,1158,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.826608,-75.042869,High
296,833,WESTMORELAND,,36.935092,-75.954989,High
297,838,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.950144,-76.059653,Med
298,848,CARMINA,,36.959725,-76.021361,High
299,1161,TEXEL,Not Charted,38.833456,-73.202878,Low
300,1170,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.866778000000004,-75.131292,Med
301,850,E H BLUM,,36.959311,-75.955483,Low
302,857,CHILORE,"Wreck - Submerged, dangerous to surface navigation",36.960561,-76.010642,High
303,1182,PLOW CITY,Not Charted,38.883481,-69.94941899999999,Low
304,1210,ATLANTHUS,Not Charted,38.941778,-74.97184200000001,Poor
305,1211,UNKNOWN,"Wreck - Submerged, nondangerous",38.949478000000006,-75.175875,High
306,880,LILLIAN LUCKENBACH,"Wreck - Submerged, dangerous to surface navigation",36.976039,-75.412741,Low
307,886,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.983478000000005,-76.066319,Med
308,1237,MOHAWK,"Wreck - Submerged, dangerous to surface navigation",39.002586,-75.20517199999999,High
309,898,TREPCA,Not Charted,37.000153000000005,-73.416206,Low
310,899,JUNIATA,"Wreck - Submerged, nondangerous",37.000147,-74.99961400000001,Poor
311,903,JOHN MORGAN,"Wreck - Submerged, dangerous to surface navigation",37.001574,-75.407492,Low
312,906,UNKNOWN,"Wreck - Submerged, nondangerous",37.000981,-75.574636,Poor
313,921,COLUMBIA,"Wreck - Submerged, dangerous to surface navigation",37.038333,-76.03366700000001,High
