Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality,Dive Site Name,Dive Site ID,Distance from Wreck
6849,UNKNOWN,Wreck - Visible,43.025694,-78.893231,High,,,
6850,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.04925,-79.00156899999998,High,,,
6851,UNKNOWN,Wreck - Visible,43.064389,-78.99029200000003,High,,,
6852,UNKNOWN,Wreck - Visible,43.050211,-78.91515,High,,,
6880,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.965444,-78.969678,High,,,
1927,WAHNAPITAE,Not Charted,41.516717,-81.71651899999998,Poor,Mecosta,23908,16.76
1936,CLEVECO,Not Charted,41.626714,-81.536508,Poor,Mecosta,23908,21.30
1940,F.H. PRINCE,Not Charted,41.650044,-82.59989399999998,Poor,Anthony Wayne,23987,14.41
1965,CASE,Not Charted,41.796711,-82.816575,Poor,George Worthington,21593,11.94
1971,CHARLES B. HILL,Not Charted,41.841717,-81.066486,Poor,lake erie,24111,21.65
1984,CLARION,Not Charted,41.916711,-83.16659200000002,Poor,George Worthington,21593,21.59
2001,FRANK E. VIGOR,"Wreck - Submerged, dangerous to surface navigation",41.956978,-81.960975,Low,Frank E. Vigor,21577,7.62
2008,CHESAPEAKE,Not Charted,42.025053,-80.566464,Poor,,,
2022,TASHMOO,Not Charted,42.091708,-83.146589,Poor,George Worthington,21593,22.18
2031,KILARNEY,"Wreck - Submerged, dangerous to surface navigation",42.158372,-81.24316400000002,Low,lake erie,24111,15.77
2039,BRITTANIC,Not Charted,42.266703,-83.108253,Poor,Thelma Spencer Park,22244,24.98
2040,FONTANA,Not Charted,42.266703,-83.108253,Poor,Thelma Spencer Park,22244,24.98
2042,JAMES H. REED,"Wreck - Submerged, dangerous to surface navigation",42.271383,-80.799817,Low,Lycoming,21415,6.35
2045,CITY OF ROME,Not Charted,42.291722,-79.69976700000002,Poor,Presque Isle,23369,22.35
2120,CITY OF DETROIT,Not Charted,42.400056,-79.599769,Poor,C. B. Benson,21202,22.07
2164,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.873389,-78.900925,High,,,
2165,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.883722,-78.916925,Poor,,,
2167,UNKNOWN,Wreck - Visible,42.890322,-78.89949200000002,High,,,
13898,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.49501400000001,-81.712869,Low,Mecosta,23908,15.45
13900,UNKNOWN,Wreck - Visible,41.501994,-81.71235300000002,Low,Mecosta,23908,15.81
13901,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.498308,-81.71865,Low,Mecosta,23908,15.81
13902,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.497817,-81.718547,Low,Mecosta,23908,15.78
2947,UNKNOWN,,42.000056,-80.51646099999998,,Presque Isle,23369,24.18
14209,M/V MELISSA DESAGNES,"Wreck - Submerged, dangerous to surface navigation",42.236667,-83.13166700000002,Low,,,
14208,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.753694,-82.475139,High,William H. Wolf,21588,5.17
14297,CHARLES H. DAVIS,"Wreck - Submerged, dangerous to surface navigation",41.513194,-81.725045,High,Mecosta,23908,16.83
14615,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.129333,-80.11361099999998,High,Presque Isle,23369,2.93
15083,WRECK,"Wreck - Submerged, nondangerous",18.448611,-65.59944399999999,Med,Rat Island,22187,4.75
8744,UNKNOWN,Wreck - Visible,18.327806,-64.958917,Low,Captains Reef USVI,22975,0.54
11853,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.326253,-64.957542,High,Captains Reef USVI,22975,0.41
11854,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330389,-64.954472,High,Captains Reef USVI,22975,0.46
11855,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.329167,-64.95030600000001,High,Captains Reef USVI,22975,0.35
11856,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.323817,-64.959108,High,Captains Reef USVI,22975,0.49
11857,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.326375,-64.95135,High,Captains Reef USVI,22975,0.15
11013,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.897069000000005,-66.181119,High,,,
11014,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.932192,-66.260378,High,Puerto Rico,23268,23.67
11049,UNKNOWN,Wreck - Visible,18.329722,-64.946667,Med,Captains Reef USVI,22975,0.50
11054,UNKNOWN,,18.351342,-64.853611,Low,Coki Beach,24082,0.78
11762,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.945089000000007,-66.627319,High,La Pared de la Parguera,18549,9.16
11767,UNKNOWN,Wreck - Visible,17.973667000000006,-66.61694200000001,High,La Pared de la Parguera,18549,9.99
11768,UNKNOWN,Wreck - Visible,17.966914000000006,-66.616289,High,La Pared de la Parguera,18549,9.96
11819,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.931778,-66.259333,High,Puerto Rico,23268,23.72
10864,HMS LOWESTOFFE,"Wreck - Submerged, nondangerous",21.515556,-72.88444399999999,Low,,,
197,LIBORIA C.,Not Charted,27.875381,-66.974078,Low,,,
601,CLINTONIA,,34.586942,-63.415758,Low,,,
907,UNKNOWN,Wreck - Visible,18.472306,-66.13905600000001,High,Escambro,23774,2.25
1266,GATEWAY CLIPPER,"Wreck - Submerged, dangerous to surface navigation",18.333011,-64.952922,Low,Captains Reef USVI,22975,0.61
1297,DRAVO,"Wreck - Submerged, dangerous to surface navigation",18.327011,-64.950194,High,Captains Reef USVI,22975,0.22
1298,VICTORY,"Wreck - Submerged, dangerous to surface navigation",18.326847,-64.950272,High,Captains Reef USVI,22975,0.20
3,FERNGARTH,"Wreck - Submerged, nondangerous",18.386675,-75.00318299999998,High,,,
400,VICTORY,Not Charted,29.454211,-70.879836,Low,,,
414,KILE NO.1,Not Charted,29.618422,-63.810664,Low,,,
790,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.748306,-64.702917,Poor,Blue Chute,24392,0.92
791,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.345231,-64.669022,Low,The Indians,22155,2.79
792,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.354675,-64.75958100000001,Low,Carval Rock,22628,2.55
794,DIFFERENT DRUMMER,"Wreck - Submerged, dangerous to surface navigation",18.361342,-64.77319200000001,Low,Carval Rock,22628,1.55
795,BALLY ONE,"Wreck - Submerged, dangerous to surface navigation",18.364675,-64.749581,Low,Carval Rock,22628,3.01
6835,UNKNOWN,Wreck - Visible,17.757194000000005,-64.604861,Low,St. John,23386,3.00
7052,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.4715,-66.130611,Med,Escambro,23774,1.85
14041,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335744,-64.935653,High,Captains Reef USVI,22975,1.32
14042,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335083,-64.924625,High,Captains Reef USVI,22975,1.93
13780,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.459114000000003,-66.09272800000001,High,Figure Eight Reef,18501,0.50
13784,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.450525,-66.10175600000001,High,Figure Eight Reef,18501,1.34
13785,UNKNOWN,"Wreck - Submerged, nondangerous",18.481217,-66.132017,High,Escambro,23774,1.55
13786,UNKNOWN,"Wreck - Submerged, nondangerous",18.484647,-66.125219,High,Escambro,23774,1.05
12196,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.712142,-64.890128,High,Frederiksted Pier,23852,0.41
10079,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.223028,-65.61627800000001,Low,Fajardo cave,23773,4.10
10082,LAKE ELLENDALE,"Wreck - Submerged, dangerous to surface navigation",18.221444,-65.600806,High,Fajardo cave,23773,4.49
9770,FRENCH KISS,"Wreck - Submerged, dangerous to surface navigation",18.330839,-64.933231,High,Captains Reef USVI,22975,1.29
9771,QUEST,"Wreck - Submerged, dangerous to surface navigation",18.330803,-64.93314699999999,High,Captains Reef USVI,22975,1.30
9772,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330617,-64.932936,High,Captains Reef USVI,22975,1.31
9773,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.329711,-64.934667,High,Captains Reef USVI,22975,1.18
9774,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.331017000000006,-64.932119,High,Captains Reef USVI,22975,1.37
9775,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.330619,-64.934256,High,Captains Reef USVI,22975,1.23
9777,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.333578,-64.932836,High,Captains Reef USVI,22975,1.40
9778,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.331192,-64.933839,High,Captains Reef USVI,22975,1.27
9781,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335075,-64.939711,High,Captains Reef USVI,22975,1.09
9782,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335283,-64.93975,High,Captains Reef USVI,22975,1.09
9784,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335694,-64.940039,High,Captains Reef USVI,22975,1.10
9785,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.325164,-64.928556,High,Captains Reef USVI,22975,1.52
9789,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.317947,-64.969697,High,Captains Reef USVI,22975,1.26
9790,UNKNOWN,Wreck - Visible,18.326008,-64.950053,High,Captains Reef USVI,22975,0.16
9791,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.303072,-64.973256,High,Charlotte Amalie,24080,1.82
9794,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.314283,-64.962839,High,Captains Reef USVI,22975,1.00
9798,UNKNOWN,Wreck - Visible,18.322528,-64.953778,High,Captains Reef USVI,22975,0.18
9802,UNKNOWN,Wreck - Visible,18.327128,-64.958325,High,Captains Reef USVI,22975,0.48
9803,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335125,-64.967031,High,Captains Reef USVI,22975,1.26
9805,WIT CONCRETE,Wreck - Visible,18.324069,-64.957003,High,Captains Reef USVI,22975,0.35
9806,MISS OPPORTUNITY,"Wreck - Submerged, dangerous to surface navigation",18.326194,-64.99355,High,Charlotte Amalie,24080,0.26
9807,WIT SHOAL,"Wreck - Submerged, dangerous to surface navigation",18.313347,-65.041389,High,Charlotte Amalie,24080,3.38
9808,MARLOGO,Wreck - Visible,18.32805,-64.960114,High,Captains Reef USVI,22975,0.61
2734,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.472306,-66.156417,High,Escambro,23774,3.27
3317,ALEGRIAN NO.1,Wreck - Visible,22.281667,-72.673333,Low,,,
2741,TRANSCARIBBEAN,Wreck - Visible,18.472972,-66.132914,High,Escambro,23774,1.90
2742,PROCK BARGE 19,Wreck - Visible,18.46925,-66.132861,High,Escambro,23774,2.06
2743,DUO,"Wreck - Submerged, dangerous to surface navigation",18.471611,-66.132942,Low,Escambro,23774,1.96
2751,ANTONIO LOPEZ,"Wreck - Submerged, nondangerous",18.478583,-66.231083,High,Escambro,23774,7.96
3318,UNKNOWN,,22.408333,-72.916667,Low,,,
3319,UNKNOWN,Wreck - Visible,22.433792,-73.017539,Low,,,
3321,UNKNOWN,Wreck - Visible,23.086667,-73.63833299999997,Low,,,
3323,WESTERN VENTURE,,23.1,-73.75,Poor,,,
3324,COMMERCIAL DISPATCH,,23.083333,-75.833333,Poor,,,
3325,ANTHONY P,,22.500456,-73.39089399999997,Poor,,,
3326,ARCHIE I,,22.420458,-72.985869,Poor,,,
3327,LUCKY ERA,,22.367111,-72.7825,Poor,,,
2779,CARL O,Wreck - Visible,18.468417,-66.132389,High,Escambro,23774,2.08
2538,CUMULUS,"Wreck - Submerged, dangerous to surface navigation",17.783583,-64.751253,Med,Twin Anchors,24402,0.61
2539,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.063019,-65.492936,Low,Cayo Blanco,24129,7.74
2540,HILDA,"Wreck - Submerged, dangerous to surface navigation",18.441333,-65.759606,Low,Seven Seas,18851,9.47
2542,IBERVILLE,"Wreck - Submerged, dangerous to surface navigation",18.443,-66.11335799999999,Low,Figure Eight Reef,18501,2.25
3159,UNKNOWN,Wreck - Visible,18.681944,-72.770556,Low,,,
3160,JE CROIS EN DIUE,"Wreck - Submerged, nondangerous",18.666667,-73.1,Poor,,,
3161,UNKNOWN,Wreck - Visible,18.95,-73.1625,Low,,,
3162,JOHANNE,"Wreck - Submerged, nondangerous",19.0,-73.0,Poor,,,
2892,LA PROFESORA II,"Wreck - Submerged, dangerous to surface navigation",18.464667,-65.98294399999999,Low,Figure Eight Reef,18501,6.85
2910,UNKNOWN,Wreck - Visible,18.442933,-66.11205600000001,High,Figure Eight Reef,18501,2.19
2911,UNKNOWN,,18.428447,-66.110694,High,Figure Eight Reef,18501,2.91
2912,UNKNOWN,Wreck - Visible,18.452611,-66.10325,High,Figure Eight Reef,18501,1.32
2913,UNKNOWN,Wreck - Visible,18.452556,-66.103444,High,Figure Eight Reef,18501,1.33
2914,UNKNOWN,Wreck - Visible,18.452722,-66.10333100000001,High,Figure Eight Reef,18501,1.31
2915,UNKNOWN,Wreck - Visible,18.447528,-66.108583,High,Figure Eight Reef,18501,1.81
2939,UNKNOWN,Wreck - Visible,22.604611,-74.350806,High,,,
2942,EASTERN CLOUD,"Wreck - Submerged, nondangerous",22.417111,-74.49928299999998,Poor,,,
7783,CARIBE,"Wreck - Submerged, nondangerous",18.681325,-66.166278,Poor,Escambro,23774,13.72
15081,WRECK,"Wreck - Submerged, nondangerous",18.5,-65.8,Low,Seven Seas,18851,13.93
8536,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.303086,-64.919133,High,Wye Reef,23635,2.29
8537,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.311281,-64.91578299999999,High,Captains Reef USVI,22975,2.52
8538,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.312044,-64.915575,High,Captains Reef USVI,22975,2.51
8555,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.327797,-64.9478,High,Captains Reef USVI,22975,0.36
8557,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.336131,-64.93858900000001,High,Captains Reef USVI,22975,1.19
8559,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.335058,-64.938592,High,Captains Reef USVI,22975,1.14
8560,ESCAPADE,"Wreck - Submerged, dangerous to surface navigation",18.321883,-64.95514200000001,High,Captains Reef USVI,22975,0.28
8567,UNKNOWN,Wreck - Visible,18.323056,-64.95222199999999,Med,Captains Reef USVI,22975,0.09
8539,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.312439,-64.916947,High,Captains Reef USVI,22975,2.42
8540,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.3116,-64.91885,High,Captains Reef USVI,22975,2.32
8543,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.323364,-64.923397,High,Captains Reef USVI,22975,1.86
8544,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.311511,-64.936375,High,Captains Reef USVI,22975,1.33
8549,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.328875,-64.93135600000001,High,Captains Reef USVI,22975,1.37
8551,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.332667,-64.934572,High,Captains Reef USVI,22975,1.27
15190,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.2701,-65.0178,High,Charlotte Amalie,24080,4.07
15191,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.2553,-65.0126,High,Charlotte Amalie,24080,4.90
15192,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.253222,-64.97783299999999,High,Charlotte Amalie,24080,4.91
15193,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.261361,-64.94125,High,Wye Reef,23635,3.24
15194,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.249556,-64.938806,High,Wye Reef,23635,3.49
4428,UNKNOWN,Wreck - Visible,17.749694,-64.697864,High,Eagle Ray,24390,0.81
4429,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.749972,-64.698475,Low,Eagle Ray,24390,0.79
4432,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.751832999999994,-64.695419,Low,Eagle Ray,24390,0.69
4433,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.752417,-64.695697,High,Eagle Ray,24390,0.65
4434,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.754417,-64.702919,Med,Blue Chute,24392,0.51
4450,UNKNOWN,Wreck - Visible,21.702136,-73.788383,Low,,,
4469,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.673030999999995,-64.82292199999999,Med,The Pier,21051,4.90
4471,UNKNOWN,Wreck - Visible,17.689864,-64.80314399999999,High,North Star,21050,5.44
4472,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",17.712067,-64.89,High,Frederiksted Pier,23852,0.40
4514,UNKNOWN,Wreck - Visible,18.330714,-64.955333,High,Captains Reef USVI,22975,0.51
3663,FANTOME,Wreck - Visible,25.261389,-76.953889,Low,Periwinkle Reef,22645,18.33
14733,WRECK,"Wreck - Submerged, nondangerous",18.225192,-65.187431,Poor,Punta de Soldado,23834,7.59
15195,OBSTRUCTION,"Wreck - Submerged, nondangerous",18.252917,-64.926639,High,Wye Reef,23635,2.72
14820,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",18.32975,-64.954639,High,Captains Reef USVI,22975,0.43
15082,WRECK,"Wreck - Submerged, nondangerous",18.45,-65.75,Low,Seven Seas,18851,9.24
54106,WRECK,"Wreck - Submerged, dangerous to surface navigation",57.718111,-152.548833,High,,,
53705,UNKNOWN,Wreck - Visible,59.47461600000001,-151.34225700000005,Poor,,,
53718,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",54.416639,-164.841139,Low,,,
50382,UNKNOWN,Wreck - Visible,60.551914,-145.761569,High,,,
50384,UNKNOWN,"Wreck - Submerged, nondangerous",60.24945,-146.420375,Med,,,
50385,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.516192,-151.34710800000005,High,,,
51030,UNKNOWN,Wreck - Visible,59.937328,-149.315883,High,,,
50409,YUKON,Not Charted,59.924456000000006,-148.850458,Poor,,,
50416,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.780081,-152.387733,Low,,,
50417,UNKNOWN,Wreck - Visible,57.779247,-152.383842,Low,,,
50418,UNKNOWN,Wreck - Visible,57.775358,-152.400233,Low,,,
50428,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.777219,-152.45054199999996,High,,,
50721,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",61.251208,-149.894281,High,,,
50429,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.776692,-152.450736,High,,,
50434,BAY ROAMER,"Wreck - Submerged, dangerous to surface navigation",60.13893100000001,-151.662425,High,,,
51734,GLACIER QUEEN,"Wreck - Submerged, nondangerous",59.149436,-144.718636,Low,,,
51740,UNKNOWN,Wreck - Visible,57.532772,-154.005472,High,,,
51741,UNKNOWN,Wreck - Visible,57.532828,-154.005806,High,,,
51742,UNKNOWN,Wreck - Visible,57.53305,-154.015028,High,,,
51750,UNKNOWN,Wreck - Visible,57.539939,-153.993583,High,,,
51721,UNKNOWN,Wreck - Visible,60.477419,-145.940372,High,,,
51722,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.53279200000001,-145.78753899999995,High,,,
51756,UNKNOWN,Wreck - Visible,57.554272,-153.978692,High,,,
51213,UNKNOWN,Wreck - Visible,57.246386,-156.37256399999995,High,,,
50194,PACIFIC,"Wreck - Submerged, dangerous to surface navigation",57.516308,-156.047108,High,,,
50625,UNKNOWN,Wreck - Visible,59.429658,-151.71501899999996,High,,,
50292,SS NORTH WIND,Not Charted,54.865867,-159.16872800000004,Poor,,,
50010,AFOGNAK,,60.177783,-144.555303,Low,,,
50080,DAVID FOSS,Not Charted,60.300886,-151.484903,High,,,
50119,GEORGE F. FERRIS,"Wreck - Submerged, dangerous to surface navigation",60.326636,-151.452225,Med,,,
50037,BAY ROAMER,"Wreck - Submerged, dangerous to surface navigation",60.140108,-151.658264,High,,,
50101,ELNA,"Wreck - Submerged, dangerous to surface navigation",57.187572,-156.335281,High,,,
52984,RAY MAR HOUSTON,Wreck - Visible,55.357222,-160.472397,High,,,
52986,CONQUEST,"Wreck - Submerged, dangerous to surface navigation",55.33564200000001,-160.538983,High,,,
52756,UNKNOWN,"Wreck - Submerged, nondangerous",55.804444,-156.76333300000005,Med,,,
52053,UNKNOWN,"Wreck - Submerged, nondangerous",56.583333,-157.716667,Low,,,
52815,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.113472,-149.38341699999995,Low,,,
53126,UNKNOWN,Wreck - Visible,60.8928,-146.82453600000005,High,,,
53128,UNKNOWN,Wreck - Visible,60.899406000000006,-146.703192,Med,,,
52237,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.77845,-148.66358300000005,High,,,
52589,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",59.96504399999999,-147.7029,High,,,
53088,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.943611,-151.084139,High,,,
52654,FOX RIVER,"Wreck - Submerged, nondangerous",57.831167,-150.79083300000005,Low,,,
51901,UNKNOWN,Wreck - Visible,61.24075600000001,-150.002531,High,,,
51906,UNKNOWN,Wreck - Visible,61.226561,-149.897881,High,,,
51907,UNKNOWN,Wreck - Visible,61.233406,-149.89471899999995,High,,,
51911,UNKNOWN,Wreck - Visible,61.294122,-149.9167,High,,,
52425,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.936108,-151.103906,Low,,,
52430,G.W. KING,Wreck - Visible,60.22740600000001,-147.7067,High,,,
51962,UNKNOWN,Wreck - Visible,60.855389,-148.367083,High,,,
51963,UNKNOWN,Wreck - Visible,60.855944,-148.3675,High,,,
52439,CHILKOOE,"Wreck - Submerged, dangerous to surface navigation",60.366092,-147.07370600000004,Low,,,
52440,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",60.322725,-147.671992,Low,,,
52441,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",56.308672,-158.381269,High,,,
52463,UNKNOWN,Wreck - Visible,57.699569,-152.538883,High,,,
53704,WELL,,59.665949,-151.335449,High,,,
53578,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",55.335289,-160.540122,High,,,
53249,F/V ST. PETER,"Wreck - Submerged, nondangerous",60.603061,-145.803911,Med,,,
53803,F/V/ KANDU,"Wreck - Submerged, nondangerous",59.795,-151.913333,,,,
54013,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.781196,-152.39025800000005,Low,,,
54014,UNKNOWN,"Wreck - Submerged, nondangerous",57.783664,-152.099606,Low,,,
53992,WRECK,"Wreck - Submerged, dangerous to surface navigation",55.251178,-161.495475,High,,,
53982,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",59.625694,-151.419806,High,,,
54097,F/V SEAFARER,"Wreck - Submerged, dangerous to surface navigation",57.96595799999999,-153.53557,Low,,,
54098,F/V GERTRUDE S,"Wreck - Submerged, nondangerous",58.00929100000001,-153.405565,Low,,,
15065,UNKNWON,"Wreck - Submerged, dangerous to surface navigation",37.000861,-75.370806,High,Cuyahoga,22454,2.77
14822,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",37.084222,-75.919472,,Chesapeake Light Tower,24380,17.36
14881,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.598528,-75.698139,Low,The Tiger,22453,7.36
14217,UNKNOWN,"Wreck - Submerged, nondangerous",36.899272,-75.71628100000002,High,Chesapeake Light Tower,24380,0.62
14225,ATLANTIC MIST,"Wreck - Submerged, dangerous to surface navigation",37.918731,-75.058447,Med,The Blackfish Banks Artificial Reef,16843,14.14
8880,MARGARET,"Wreck - Submerged, dangerous to surface navigation",38.8651,-75.134439,High,China Wreck,23455,14.65
11936,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.0391,-75.219936,High,,,
11939,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.993019,-75.19470600000002,High,China Wreck,23455,22.70
11940,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.042428,-75.22491099999998,High,,,
11941,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.002586,-75.20517199999998,High,China Wreck,23455,23.57
11942,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.993839,-75.196211,High,China Wreck,23455,22.80
11945,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.023808,-75.134089,High,China Wreck,23455,22.27
11946,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.003147,-75.125711,High,China Wreck,23455,20.84
11947,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.005472,-75.12850300000002,High,China Wreck,23455,21.06
11952,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.042231,-75.110014,High,China Wreck,23455,22.65
11953,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.010861,-75.127944,High,China Wreck,23455,21.35
11955,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.987064,-75.112475,High,China Wreck,23455,19.53
11973,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.396589,-75.50323900000002,High,,,
